,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,IndDivision,Manufacturing,Other,Services,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,T5xbin,C6xbin,T3xbin,labels
30,NHWK,NightHawk Radiology Holdings Inc,8090,0.7224223515606647,0.3805876847459918,0.3823981221263626,0.7710900380930552,0.595641876785182,1,0.010942107211439506,0.22830325575797278,0.4207280571653934,0.30823193976292496,0.33778015526394356,0.8174174002076084,0.7807026050634838,0.8162566993514512,0.7645807105073583,0.8463065540678564,0.2996002144359593,0.5699422292193882,0.8320351310143694,Services,0,0,1,0,1,0,0.7850504915492638,0.7351397690439937,0.8611459219866948,0.40567386889390816,0.6880499632699499,0.07604421514705582,0.2767432804720109,0.5615009603994924,0.49017494582262483,0.26801998916489556,0.30367218719125055,3,1,4,0
31,VRAD,Virtual Radiologic CORP ,8090,0.7928700562189778,0.824183607459961,0.8228541830625782,0.7757285218773164,0.7535511824418578,1,0.47301848196145324,0.05655526868944676,0.19400450097569116,0.14868489141250735,0.30224964694354906,0.6385851601416674,0.7246163812850761,0.7306136303949553,0.7016376797233569,0.7422002257726377,0.11124572634243296,0.6453122120608046,0.644223739492131,Services,0,0,1,0,1,0,0.24609581891985172,0.5693899596717225,0.6935771021866275,0.8204672281165046,0.575964705260412,0.008087782689070266,0.448774131140125,0.3752443069057377,0.3073049910399039,0.404949559885847,0.26819516583601805,3,0,3,0
32,LHCG,LHC Group Inc,8082,0.5546102538694483,0.3805876847459918,0.3823981221263626,0.5775259252136923,0.8984070376723785,0,0.7846413102120391,0.5742394306756587,0.19663088277314994,0.19659705043373293,0.4860481898031302,0.7139995154819755,0.5678518269919729,0.5060617710662406,0.5497019983338803,0.48481555742336324,0.17681800526042724,0.4485247590503787,0.3792949026309382,Services,0,0,1,0,1,1,0.8167152046392279,0.38706482702639555,0.2051785760675794,0.19316655394578197,0.3762694938604944,0.0671704998884993,0.38636792613391213,0.25756312226857453,0.3022635808813385,0.5830977431547726,0.6514200161862884,2,1,1,3
33,GHDX,GENOMIC HEALTH INC ,8071,0.37622258501788236,0.3805876847459918,0.3823981221263626,0.26480774068207935,0.1606581239070859,1,0.12771784608946185,0.1403396667800817,0.3194726059162422,0.21103318603317045,0.2502507170981403,0.1603780262386294,0.11136953206542916,0.12777544880240038,0.14748182803800247,0.09608116230593877,0.27470540991739595,0.0882107803378484,0.08607787329185496,Services,0,0,1,1,0,0,0.24609581891985172,0.7638004497945134,0.4820722258288215,0.2469387441229437,0.1592801681439045,0.7721270330741654,0.11568385988173474,0.24735218275900062,0.25729410515096457,0.24574746582465923,0.2557735253110329,1,0,2,3
34,GXDX,GENOPTIX INC,8071,0.7928700562189778,0.6231424902627405,0.6230702070315971,0.928739999007899,0.2881115582609681,1,0.3850316397115977,0.41813346761186876,0.18357721591062315,0.20989766318902647,0.1597474898369317,0.4192197410486605,0.42334196288664117,0.3982628883352644,0.40952247134832065,0.4567372575906747,0.47988224671108204,0.6534031128402323,0.4284287088278149,Services,0,0,1,0,1,0,0.980714311373191,0.2994799035806694,0.8274027923624858,0.6193438288440062,0.7183874469749736,0.6396992922906459,0.8349239000603579,0.5777831887487365,0.40825450085285475,0.6833108484826865,0.26819516583601805,3,1,4,0
35,HCA,HCA Holdings Inc.,8062,0.7928700562189778,0.7332216108767484,0.7323466349943977,0.9903562693159561,0.1763572165420078,1,0.7348442188864763,0.12252378332508979,0.7787331980873476,0.8053652979073633,0.7853649005480019,0.4511529917115711,0.4867954286335905,0.4174511485399024,0.41739464874429527,0.32854262318124994,0.35220820042902434,0.776424383515602,0.4618643893371925,Services,0,0,1,0,1,1,0.6557505410736999,0.5644734338491948,0.1601717888562782,0.55134755722224,0.17725635208610707,0.362318782889269,0.7551118806028225,0.5229091097311998,0.7375569562485609,0.40930833065556493,0.5491237727216446,1,1,1,3
36,SEM,SELECT MEDICAL HOLDINGS CORP,8060,0.22119854703253072,0.27001129705463384,0.2724035349900076,0.18826333111527532,0.7535511824418578,1,0.5454370367573027,0.9688474496868145,0.7787331980873476,0.8053652979073633,0.9503903145296257,0.6767756517397989,0.6384051809810208,0.6149335812267673,0.6357880615404137,0.5480545877798085,0.2508759590967692,0.8427339080618982,0.7606280520391704,Services,0,0,1,1,1,1,0.24609581891985172,0.8331994566094656,0.5891524551643055,0.5415578341712461,0.34075614744203864,0.10744939160815631,0.834410640408624,0.7219813864065034,0.9035758858601715,0.1922979616975386,0.9879457013658858,2,0,3,2
37,ADKU,ADCARE HEALTH SYSTEMS INC,8051,0.5400544321170062,0.5610038712830748,0.5655192889177535,0.9402117384827401,0.7381693877048441,1,0.9707913962074626,0.48628222505611335,0.7783792284440636,0.8259092731053935,0.7853649005480019,0.20253774861355855,0.11055586577209187,0.12733398076444818,0.11726557428338208,0.04830140483931982,0.3124192872273385,0.18002746056190894,0.08944992343891262,Services,0,0,1,1,1,1,0.24609581891985172,0.534109298910588,0.48974477909144354,0.02900839433236267,0.003994603650066066,0.8363888151426714,0.48655810881383793,0.2691325046048887,0.7336893110177497,0.43670570445709433,0.5083514671677396,1,0,2,3
38,ENSG,ENSIGN GROUP INC,8051,0.7224223515606647,0.9848746208066119,0.98429275766223,0.04388986889217015,0.8569679169135007,0,0.7097522864885512,0.24930239306827395,0.2536361339264414,0.14868489141250735,0.7238671891009093,0.8872073905712121,0.8573943053537316,0.8930091449362387,0.9094755621793316,0.7506743185785889,0.6644549715009322,0.7970469668944916,0.9613273006074737,Services,0,0,1,1,0,1,0.24609581891985172,0.8162571874690403,0.4876878122139679,0.6114842800487535,0.14033595040250446,0.28878658372368615,0.4244216625773071,0.7084064528276507,0.28188285113402367,0.20535767847452102,0.7797970822999168,1,0,2,3
39,SMBI,SYMBION INC/TN,8011,0.6419535023186731,0.5019561906084825,0.502865540066132,0.6668613251012309,0.20083390039364174,1,0.9590594360913074,0.05085541955809712,0.24050344501464443,0.38625792862501807,0.5701418920621163,0.37519122295421425,0.3499541144867916,0.29537156941199766,0.2633728491058166,0.18216050449907295,0.1864609838395584,0.6039351476396891,0.08944992343891262,Services,0,0,1,0,1,1,0.7850504915492638,0.20790384979844045,0.1721271680852154,0.19516083802021106,0.06478583356040188,0.19351075305385657,0.8556240389189271,0.029062831041739845,0.5236447908067021,0.7993919979241964,0.5273506763863582,1,1,1,3
