,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,C6xbin,T5xbin,T3xbin,IndDivision,Manufacturing,Other,Services,labels
30,NHWK,NightHawk Radiology Holdings Inc,8090,0.5416666666666666,0.4375,0.4375,0.5748886601349178,0.5435989491291309,1,0.09251968503937012,0.3298471871716577,0.2863016966671067,0.2627986348122867,0.4450205272763571,0.6417489421720733,0.643224555190151,0.6110666879897649,0.5865580448065173,0.6280107047279215,0.3358208955223881,0.42792792792792794,0.6356275303643725,0,1,0,0.4047619047619047,0.5918034968677329,0.7139532557781075,0.45303765142203267,0.5919913980281882,0.22284160083026822,0.3619085360748862,0.530737047030447,0.43412185412523724,0.37833997648693596,0.3939757323611026,1,3,4,Services,0,0,1,0
31,VRAD,Virtual Radiologic CORP ,8090,0.5833333333333334,0.6875,0.6875,0.5776726352210725,0.6232032520473846,1,0.5019685039370079,0.16931764931082727,0.13929250253086883,0.15813424345847554,0.4269414554094397,0.5049365303244006,0.6008095117632178,0.5532810917426302,0.5478615071283096,0.5530776092774309,0.19402985074626866,0.46846846846846846,0.5222672064777328,0,1,0,0.0,0.5077491952449724,0.605576993440229,0.6714873348963828,0.536583475787086,0.0344520067026315,0.44973104003478215,0.446243073108766,0.3449626639469876,0.4432357558301217,0.3743584858804669,0,3,3,Services,0,0,1,0
32,LHCG,"LHC Group, Inc",8082,0.4583333333333333,0.4375,0.4375,0.47605794129137063,0.7285024937924712,0,0.6594488188976378,0.507903819381523,0.14140200387938293,0.1945392491467577,0.5147728794580724,0.5543018335684062,0.5099924108272198,0.432379124686817,0.4663951120162933,0.41391614629794826,0.2537313432835821,0.36486486486486486,0.39271255060728744,0,1,1,0.4358974358974359,0.42217782317523467,0.35696481916275413,0.3454681948765868,0.44257554281428835,0.21025165588392608,0.4194259613165496,0.3867502802493465,0.3425444058209556,0.5268228860863435,0.5625813573009348,1,2,1,Services,0,0,1,1
33,GHDX,GENOMIC HEALTH INC ,8071,0.375,0.4375,0.4375,0.32711582958301694,0.3221981647213481,1,0.3051181102362205,0.26594490062589465,0.2266419820761888,0.20440145620022754,0.3986149994859161,0.25811001410437234,0.2959355763555106,0.2000106615491231,0.23014256619144602,0.15789473684210525,0.3208955223880597,0.11261261261261261,0.1902834008097166,1,0,0,0.0,0.6085079840184574,0.5025306146841252,0.3759304949451774,0.31606405838005186,0.644666589693177,0.24747807677664135,0.381036716924131,0.32074050726060094,0.36697565271694493,0.36718442650272015,0,1,2,Services,0,0,1,1
34,GXDX,GENOPTIX INC,8071,0.5833333333333334,0.5625,0.5625,0.7057350131262549,0.3998684023875546,1,0.4606299212598425,0.43262949682069923,0.13074004812690493,0.2036405005688282,0.34009335606530405,0.38928067700987307,0.44287039379374316,0.37731222346606963,0.395112016293279,0.39964317573595004,0.43283582089552236,0.47297297297297297,0.41700404858299595,0,1,0,0.7555555555555555,0.37790597823439237,0.6874831219203908,0.5521339953419264,0.6082618382078475,0.5694811158848173,0.6585136254675046,0.5381449811086649,0.3933437542887101,0.5798811415354357,0.3743584858804669,1,3,4,Services,0,0,1,0
35,HCA,"HCA Holdings, Inc.",8062,0.5833333333333334,0.625,0.625,0.8635858029054014,0.33339877063362083,1,0.6299212598425197,0.2499538257167339,0.5008636689112994,0.5261528668941979,0.6648837072363654,0.40479548660084624,0.47128762964836834,0.3872807718961565,0.39918533604887985,0.33184656556645853,0.3656716417910448,0.5484234234234234,0.4331983805668016,0,1,1,0.2982456140350877,0.5054328815798573,0.32507908290287396,0.5195782941946364,0.32933398913141576,0.43199056768779137,0.6048975898593015,0.5133440212838938,0.5897566980626276,0.4452347114573019,0.5131650219483176,1,1,1,Services,0,0,1,1
36,SEM,SELECT MEDICAL HOLDINGS CORP,8060,0.2916666666666667,0.375,0.375,0.2809020229412779,0.6232032520473846,1,0.5354330708661418,0.8284089535242223,0.5008636689112994,0.5261528668941979,0.8209574620479105,0.5289139633286318,0.5473480057340416,0.48824564209179594,0.5112016293279023,0.44603033006244425,0.30597014925373134,0.5990990990990991,0.5870445344129555,1,1,1,0.0,0.6545189178056472,0.5530876734426491,0.515023640228781,0.42493641110348856,0.2600235590275601,0.6581226036171728,0.6082950467579828,0.796015162432817,0.3378294742225939,0.9052371566958092,0,2,3,Services,0,0,1,0
37,ADKU,"ADCARE HEALTH SYSTEMS, INC",8051,0.451569423929099,0.5300744047619048,0.5321902901785714,0.7220146845979424,0.6145909151301829,1,0.8627460691243024,0.46555625344795687,0.5005996661627025,0.5410782356900997,0.6648837072363654,0.2820874471086037,0.29542963150349943,0.1995841995841996,0.20162932790224034,0.08563782337198929,0.34328358208955223,0.20270270270270271,0.19433198380566802,1,1,1,0.0,0.4912171769297777,0.5061298751844625,0.18424127237500554,0.009098293606258311,0.6899570282128358,0.46773144632179586,0.3930837328620744,0.5865833032007804,0.4577889462370927,0.4940567527639351,0,1,2,Services,0,0,1,1
38,ENSG,"ENSIGN GROUP, INC",8051,0.5416666666666666,0.9375,0.9375,0.1321854000250357,0.6915859221435712,0,0.6161417322834646,0.342797747874811,0.18365725801527308,0.15813424345847554,0.6292259786422882,0.7291960507757405,0.7197487140568345,0.6799402953249107,0.7107942973523421,0.5584299732381802,0.5298507462686567,0.5630630630630631,0.7894736842105263,1,0,1,0.0,0.6423460453970885,0.5051651643529471,0.5482685716044091,0.30096888797484417,0.3923530685674641,0.4380218629848233,0.6011457896694603,0.33272433824821335,0.3452519458246525,0.6334100949849643,0,1,2,Services,0,0,1,1
39,SMBI,SYMBION INC/TN,8011,0.5,0.5,0.5,0.5186525642854731,0.34967236544425473,1,0.8346456692913387,0.15933140049836328,0.17443751326331378,0.3037542662116041,0.5532752633150465,0.36812411847672777,0.410953706046041,0.32085932085932084,0.3136456211812627,0.23818019625334522,0.26119402985074625,0.44594594594594594,0.19433198380566802,0,1,1,0.4047619047619047,0.3245730651944965,0.334048813807293,0.34666963419226904,0.21992357260971732,0.33268372869375895,0.674998631222981,0.16444445295625099,0.45163769302800927,0.6563021214783583,0.5029465869851812,1,1,1,Services,0,0,1,1
40,EXAM,"ExamWorks Group, Inc. ",8000,0.5416666666666666,0.6875,0.6875,0.4677060160329067,0.3221981647213481,1,0.48031496062992124,0.7391073621955226,0.29320678693152796,0.4448236632536974,0.4177284625543058,0.5007052186177715,0.5438063917699637,0.47555839863532173,0.5132382892057027,0.56021409455843,0.43283582089552236,0.545045045045045,0.5870445344129555,1,1,0,0.0,0.3554799442580531,0.4334797083690373,0.5898025298209933,0.7078918677054065,0.4424403975637565,0.60271936202789,0.6139383908449156,0.5731773230806938,0.6101165608777548,0.3743584858804669,0,4,2,Services,0,0,1,1
41,CLUB,TOWN SPORTS INTERNATIONAL HOLDINGS INC,7997,0.4166666666666667,0.6875,0.6875,0.3688752971893595,0.9566580422926159,1,0.5275590551181103,0.279865166535831,0.24428258679581602,0.3833902161547213,0.6378146403981085,0.43582510578279265,0.40673749894594824,0.3107841569380031,0.35234215885947046,0.2649420160570919,0.40298507462686567,0.2702702702702703,0.22267206477732793,1,1,1,0.0,0.348445962278651,0.2356970042355377,0.296148280479821,0.3166212030163737,0.5798952364338753,0.408523604669895,0.2344360314154034,0.4712350629742735,0.6201384846593312,0.626279081482846,0,1,1,Services,0,0,1,1
42,LTM,"LIFE TIME FITNESS, INC.",7997,0.6458333333333334,0.75,0.75,0.5846325464887963,0.4532808092885562,1,0.6751968503937008,0.4594943056544846,0.3235696597954945,0.42662116040955633,0.5935797871870877,0.35684062059238364,0.3896618601905726,0.30230822538514845,0.32790224032586557,0.24442462087421946,0.1791044776119403,0.11261261261261261,0.21862348178137653,0,1,1,0.15740740740740738,0.40858412520979065,0.4306818033742011,0.4267009950594947,0.3032932628758465,0.190490736638322,0.115947182849577,0.2547809360738982,0.6077655185288403,0.5422715674582674,0.5858800687094852,1,1,2,Services,0,0,1,1
43,MANU,Manchester United plc ,7900,0.4583333333333333,0.8125,0.6875,0.38975503099253084,0.02331373622108539,1,0.531496062992126,0.5906623804013963,0.5008636689112994,0.7345468486916951,0.6679384928882058,0.5204513399153737,0.6563791213424404,0.6047230662615278,0.6578411405295316,0.5700267618198037,0.8582089552238806,0.35585585585585583,0.5182186234817814,1,0,1,0.0,0.6095507164958244,0.4651361858794407,0.9182932027532159,0.4451496362857107,0.7631168829217021,0.26442400052412707,0.37237545065415967,0.6943524474960038,0.11114189886620862,0.626279081482846,0,2,2,Services,0,0,1,1
44,WMG,Warner Music Group Corp. ,7900,0.5833333333333334,0.625,0.625,0.4565701685836138,0.22739496027734757,1,0.36023622047244097,0.605661757742271,0.5008636689112994,0.5261528668941979,0.8709347644034434,0.8942172073342737,0.9665654776962644,0.9771309771309772,0.9837067209775967,0.983942908117752,0.835820895522388,0.5484234234234234,0.8623481781376519,1,0,0,0.0,0.5681248171617171,0.6456146430002478,0.7517051038200118,0.5623029179432264,0.48069730457825405,0.9302938752947805,0.4226934249123626,0.5897566980626276,0.3952473812605262,0.42644344941671647,0,3,3,Services,0,0,1,0
